Station,Date,Time,Break Code,Secs,Film,Programme,Cost,Cost Net,CPT, Audience
Comedy Central,06/01/2026,6:32:00 AM,01-10-06-01,10,Nuvio_DE_10s_AppPromo_V1,Friends - Season 3 - 7,32.50 €,27.63 €,,
Comedy Central,06/01/2026,11:48:00 AM,01-10-11-01,20,Nuvio_DE_20s_AppPromo_V2,Seinfeld - Season 5 - 12,61.00 €,51.85 €,,
Comedy Central,06/01/2026,3:10:00 PM,01-10-15-01,10,Nuvio_DE_10s_AppPromo_V1,The Office - Season 4 - 3,45.20 €,38.42 €,,
Comedy Central,06/01/2026,8:05:00 PM,01-10-20-01,30,Nuvio_DE_30s_BrandSpot_V1,South Park - Season 22 - 4,118.40 €,100.64 €,,12450
Warner TV Comedy,06/01/2026,7:20:00 AM,01-12-07-01,10,Nuvio_DE_10s_AppPromo_V1,American Dad - Season 4 - 2,28.60 €,24.31 €,,
Warner TV Comedy,06/01/2026,1:45:00 PM,01-12-13-01,20,Nuvio_DE_20s_AppPromo_V2,Family Guy - Season 14 - 6,62.80 €,53.38 €,,
Warner TV Comedy,06/01/2026,8:20:00 PM,01-12-20-01,20,Nuvio_DE_20s_AppPromo_V2,Two and a Half Men - Season 9 - 1,95.30 €,81.01 €,,8720
Comedy Central,07/01/2026,1:32:00 AM,01-10-25-01,10,Nuvio_DE_10s_AppPromo_V1,South Park - Season 22 - 8,14.20 €,12.07 €,,
Comedy Central,07/01/2026,9:15:00 AM,01-10-09-01,10,Nuvio_DE_10s_AppPromo_V1,Friends - Season 3 - 9,38.70 €,32.90 €,,
Comedy Central,07/01/2026,2:40:00 PM,01-10-14-01,20,Nuvio_DE_20s_AppPromo_V2,Seinfeld - Season 5 - 15,53.10 €,45.14 €,,
Comedy Central,07/01/2026,7:55:00 PM,01-10-19-01,30,Nuvio_DE_30s_BrandSpot_V1,South Park - Season 23 - 1,142.60 €,121.21 €,,15830
Warner TV Comedy,07/01/2026,8:00:00 AM,01-12-08-01,10,Nuvio_DE_10s_AppPromo_V1,American Dad - Season 5 - 3,29.40 €,24.99 €,,
Warner TV Comedy,07/01/2026,12:05:00 PM,01-12-12-01,20,Nuvio_DE_20s_AppPromo_V2,Family Guy - Season 15 - 2,64.80 €,55.08 €,,
Warner TV Comedy,07/01/2026,9:10:00 PM,01-12-21-01,20,Nuvio_DE_20s_AppPromo_V2,Big Bang Theory - Season 6 - 5,108.70 €,92.40 €,,11260
Comedy Central,08/01/2026,7:20:00 AM,01-10-07-01,10,Nuvio_DE_10s_AppPromo_V1,Friends - Season 3 - 11,34.90 €,29.67 €,,
Comedy Central,08/01/2026,11:50:00 AM,01-10-11-01,20,Nuvio_DE_20s_AppPromo_V2,Seinfeld - Season 6 - 2,57.40 €,48.79 €,,
Comedy Central,08/01/2026,4:25:00 PM,01-10-16-01,10,Nuvio_DE_10s_AppPromo_V1,The Office - Season 5 - 1,41.60 €,35.36 €,,
Comedy Central,08/01/2026,8:35:00 PM,01-10-20-01,30,Nuvio_DE_30s_BrandSpot_V1,South Park - Season 24 - 3,156.20 €,132.77 €,,18940
Warner TV Comedy,08/01/2026,10:30:00 AM,01-12-10-01,10,Nuvio_DE_10s_AppPromo_V1,Family Guy - Season 15 - 4,31.20 €,26.52 €,,
Warner TV Comedy,08/01/2026,3:15:00 PM,01-12-15-01,20,Nuvio_DE_20s_AppPromo_V2,American Dad - Season 5 - 7,67.50 €,57.38 €,,
