Sender,Datum,Uhrzeit,Planstunde,Planminute,Kalenderwoche,Wochentag,Format,Tarifbrutto ,NonPaid-Brutto ,NonPaid-Brutto(30s) ,Frequenzen,Gewählt,Fixiert,Sollstunde,Blockart,TKP-Tarifbrutto ,TKP ,TKP(30s) ,CPP-Tarifbrutto ,CPP ,CPP(30s) ,GRP,Kontaktsumme in '000,Nutzer-Fallzahl,Affinität,Angebot-Werbeform(laut Angebot-Daten),Genre vorher,Genre nachher,Umfeld vorher,Umfeld nachher,Dispostatus,Verfügbarkeit,Kunde,Produkt,Kampagne,Motiv
Comedy CH,1/6/2026,06:35:22,6,30,2,Dienstag,10,11.22,,,1,Ja,Nein,0,Unterbrecher,,,,,,,0.001,1,,,keine Angabe,Serien / Cartoons,Serien / Cartoons,Bob's Burgers,Bob's Burgers,fest im Buchungssystem,,Nuvio GmbH (MwId:30001),Nuvio App (MwId:30002),R - Nuvio Januar 2026 / CH (MwId:30003),Motiv (MwId:200001)
Comedy CH,1/6/2026,09:12:47,9,10,2,Dienstag,10,11.22,,,1,Ja,Nein,0,Unterbrecher,,,,,,,0.002,2,,,keine Angabe,Serien / Sitcoms,Serien / Sitcoms,Friends,Friends,fest im Buchungssystem,,Nuvio GmbH (MwId:30001),Nuvio App (MwId:30002),R - Nuvio Januar 2026 / CH (MwId:30003),Motiv (MwId:200001)
Comedy CH,1/6/2026,14:08:54,14,10,2,Dienstag,10,11.22,,,1,Ja,Nein,0,Unterbrecher,,,,,,,0.003,3,,,keine Angabe,Serien / Sitcoms,Serien / Sitcoms,Seinfeld,Seinfeld,fest im Buchungssystem,,Nuvio GmbH (MwId:30001),Nuvio App (MwId:30002),R - Nuvio Januar 2026 / CH (MwId:30003),Motiv (MwId:200002)
13th Street CH,1/6/2026,16:22:11,16,20,2,Dienstag,20,18.5,,,1,Ja,Nein,0,Unterbrecher,,,,,,,0.002,2,,,keine Angabe,Action / Thriller,Action / Thriller,NCIS,NCIS,fest im Buchungssystem,,Nuvio GmbH (MwId:30001),Nuvio App (MwId:30002),R - Nuvio Januar 2026 / CH (MwId:30003),Motiv (MwId:200001)
Comedy CH,1/6/2026,20:14:33,20,15,2,Dienstag,10,22.8,,,1,Ja,Nein,0,Unterbrecher,,,,,,,0.006,8,,,keine Angabe,Serien / Cartoons,Serien / Cartoons,South Park,South Park,fest im Buchungssystem,,Nuvio GmbH (MwId:30001),Nuvio App (MwId:30002),R - Nuvio Januar 2026 / CH (MwId:30003),Motiv (MwId:200002)
Comedy CH,1/6/2026,22:05:47,22,5,2,Dienstag,20,15.6,,,1,Ja,Nein,0,Unterbrecher,,,,,,,0.004,5,,,keine Angabe,Serien / Cartoons,Serien / Cartoons,American Dad!,American Dad!,fest im Buchungssystem,,Nuvio GmbH (MwId:30001),Nuvio App (MwId:30002),R - Nuvio Januar 2026 / CH (MwId:30003),Motiv (MwId:200001)
Comedy CH,1/7/2026,07:31:09,7,30,2,Mittwoch,10,11.22,,,1,Ja,Nein,0,Unterbrecher,,,,,,,0.001,1,,,keine Angabe,Serien / Cartoons,Serien / Cartoons,Family Guy,Family Guy,fest im Buchungssystem,,Nuvio GmbH (MwId:30001),Nuvio App (MwId:30002),R - Nuvio Januar 2026 / CH (MwId:30003),Motiv (MwId:200001)
13th Street CH,1/7/2026,11:44:52,11,45,2,Mittwoch,10,9.8,,,1,Ja,Nein,0,Unterbrecher,,,,,,,0.002,2,,,keine Angabe,Krimis,Krimis,NCIS,NCIS,fest im Buchungssystem,,Nuvio GmbH (MwId:30001),Nuvio App (MwId:30002),R - Nuvio Januar 2026 / CH (MwId:30003),Motiv (MwId:200002)
Comedy CH,1/7/2026,15:27:43,15,25,2,Mittwoch,20,20.1,,,1,Ja,Nein,0,Unterbrecher,,,,,,,0.004,4,,,keine Angabe,Serien / Cartoons,Serien / Cartoons,Bob's Burgers,Bob's Burgers,fest im Buchungssystem,,Nuvio GmbH (MwId:30001),Nuvio App (MwId:30002),R - Nuvio Januar 2026 / CH (MwId:30003),Motiv (MwId:200002)
Comedy CH,1/7/2026,17:39:18,17,40,2,Mittwoch,10,19.5,,,1,Ja,Nein,0,Unterbrecher,,,,,,,0.003,3,,,keine Angabe,Serien / Sitcoms,Serien / Sitcoms,Seinfeld,Seinfeld,fest im Buchungssystem,,Nuvio GmbH (MwId:30001),Nuvio App (MwId:30002),R - Nuvio Januar 2026 / CH (MwId:30003),Motiv (MwId:200001)
13th Street CH,1/7/2026,19:52:04,19,55,2,Mittwoch,20,32.4,,,1,Ja,Nein,0,Unterbrecher,,,,,,,0.008,12,,,keine Angabe,Action / Thriller,Action / Thriller,24,24,fest im Buchungssystem,,Nuvio GmbH (MwId:30001),Nuvio App (MwId:30002),R - Nuvio Januar 2026 / CH (MwId:30003),Motiv (MwId:200002)
